Full_ID,Line,Group,Flowering_date,Move_to_growthRoom,Days_to_flower
Cbp-3-1,Cbp-3,Cbp,2020/4/16,2020/1/29,78
Cbp-3-2,Cbp-3,Cbp,2020/3/20,2020/1/29,51
Cbp-3-3,Cbp-3,Cbp,2020/3/31,2020/1/29,62
Cbp-3-4,Cbp-3,Cbp,2020/3/21,2020/1/29,52
Cbp-3-5,Cbp-3,Cbp,2020/3/14,2020/1/29,45
Cbp-3-6,Cbp-3,Cbp,2020/3/12,2020/1/29,43
Cbp-4-1,Cbp-4,Cbp,2020/2/22,2020/1/29,24
Cbp-4-2,Cbp-4,Cbp,2020/2/21,2020/1/29,23
Cbp-4-3,Cbp-4,Cbp,2020/2/23,2020/1/29,25
Cbp-4-4,Cbp-4,Cbp,2020/2/21,2020/1/29,23
Cbp-4-5,Cbp-4,Cbp,2020/2/23,2020/1/29,25
Cbp-4-6,Cbp-4,Cbp,2020/2/21,2020/1/29,23
Cbp-6-1,Cbp-6,Cbp,2020/3/15,2020/1/29,46
Cbp-6-2,Cbp-6,Cbp,2020/3/13,2020/1/29,44
Cbp-6-3,Cbp-6,Cbp,2020/3/15,2020/1/29,46
Cbp-6-4,Cbp-6,Cbp,2020/3/15,2020/1/29,46
Cbp-6-5,Cbp-6,Cbp,2020/3/15,2020/1/29,46
Cbp-6-6,Cbp-6,Cbp,2020/3/15,2020/1/29,46
Cbp-8-1,Cbp-8,Cbp,2020/3/27,2020/1/29,58
Cbp-8-2,Cbp-8,Cbp,2020/4/4,2020/1/29,66
Cbp-8-3,Cbp-8,Cbp,2020/3/27,2020/1/29,58
Cbp-8-4,Cbp-8,Cbp,2020/3/28,2020/1/29,59
Cbp-8-5,Cbp-8,Cbp,2020/4/15,2020/1/29,77
Cbp-8-6,Cbp-8,Cbp,2020/4/3,2020/1/29,65
Cbp-11-1,Cbp-11,Cbp,2020/3/4,2020/1/29,35
Cbp-11-2,Cbp-11,Cbp,2020/3/8,2020/1/29,39
Cbp-11-3,Cbp-11,Cbp,2020/3/7,2020/1/29,38
Cbp-11-4,Cbp-11,Cbp,2020/3/6,2020/1/29,37
Cbp-11-5,Cbp-11,Cbp,2020/3/3,2020/1/29,34
Cbp-11-6,Cbp-11,Cbp,2020/3/4,2020/1/29,35
Cbp-12-1,Cbp-12,Cbp,2020/3/13,2020/1/29,44
Cbp-12-2,Cbp-12,Cbp,2020/3/11,2020/1/29,42
Cbp-12-3,Cbp-12,Cbp,2020/3/6,2020/1/29,37
Cbp-12-4,Cbp-12,Cbp,2020/3/8,2020/1/29,39
