Photo,ID,Group,Origin,Ploidy_level,Number,Petal_area,Petal_length,Petal_width,Sepal_area,Sepal_length,Sepal_width,Stamen_length
45,Cbp-11-1,Cbp,H,4x,1,1.51,2.32,0.95,1.35,1.77,1.06,2.14
45,Cbp-11-1,Cbp,H,4x,2,1.64,2.46,0.99,1.02,1.62,0.85,2.01
45,Cbp-11-1,Cbp,H,4x,3,1.72,2.44,1.08,1.15,1.88,0.83,2.14
45,Cbp-11-1,Cbp,H,4x,4,1.39,2.32,0.98,1.34,1.75,1.06,1.69
45,Cbp-11-1,Cbp,H,4x,5,1.27,2.41,0.77,0.95,1.75,0.73,1.82
45,Cbp-11-1,Cbp,H,4x,6,1.16,2.25,0.78,0.94,1.64,0.75,1.97
63,Cbp-11-2,Cbp,H,4x,1,2.46,2.98,1.35,1.59,2.09,1.08,2.22
63,Cbp-11-2,Cbp,H,4x,2,2.14,2.94,1.19,1.27,1.98,1.01,2.27
63,Cbp-11-2,Cbp,H,4x,3,2.32,3.1,1.19,1.83,2.04,1.4,2.45
63,Cbp-11-2,Cbp,H,4x,4,2.53,3.1,1.31,1.31,1.95,1.05,2.27
63,Cbp-11-2,Cbp,H,4x,5,2.51,2.97,1.36,1.33,1.88,1.1,2.22
63,Cbp-11-2,Cbp,H,4x,6,2.28,3.03,1.21,1.26,1.86,1.05,2.07
77,Cbp-11-3,Cbp,H,4x,1,1.85,2.68,1.15,0.92,1.72,0.8,1.84
77,Cbp-11-3,Cbp,H,4x,2,1.58,2.49,1.1,1.14,1.84,0.94,2.05
77,Cbp-11-3,Cbp,H,4x,3,1.79,2.61,1.14,1.04,1.72,0.84,2.11
77,Cbp-11-3,Cbp,H,4x,4,1.93,2.66,1.13,1.26,1.79,1.17,2.01
77,Cbp-11-3,Cbp,H,4x,5,1.75,2.55,1.08,1.1,1.85,0.85,1.97
77,Cbp-11-3,Cbp,H,4x,6,1.85,2.53,1.15,0.9,1.83,0.74,1.81
35,Cbp-11-4,Cbp,H,4x,1,1.77,2.63,1.04,1.41,1.88,1.07,2.12
35,Cbp-11-4,Cbp,H,4x,2,1.77,2.7,1.05,1.33,1.88,0.94,2.08
35,Cbp-11-4,Cbp,H,4x,3,1.72,2.55,1.02,1.34,1.98,1,2.03
35,Cbp-11-4,Cbp,H,4x,4,2.08,2.8,1.22,1.5,1.93,1.1,2.2
35,Cbp-11-4,Cbp,H,4x,5,1.83,2.71,1.21,1.18,1.84,0.92,2.12
35,Cbp-11-4,Cbp,H,4x,6,1.84,2.77,1.04,1.14,1.8,0.99,2
10,Cbp-11-5,Cbp,H,4x,1,2.15,2.44,1.3,1.32,1.82,1.02,1.99
10,Cbp-11-5,Cbp,H,4x,2,1.96,2.73,1.13,1.25,1.77,1.09,2.05
10,Cbp-11-5,Cbp,H,4x,3,1.8,2.44,1.22,1.36,1.92,1.03,2
10,Cbp-11-5,Cbp,H,4x,4,1.74,2.3,1.12,1.33,1.94,0.92,2.2
10,Cbp-11-5,Cbp,H,4x,5,1.9,2.56,1.1,0.88,1.89,0.74,2.09
10,Cbp-11-5,Cbp,H,4x,6,1.46,1.96,1.01,1.31,1.81,1,1.98
168,Cbp-12-1,Cbp,H,4x,1,1.71,2.46,1.19,1.17,1.77,0.98,1.86
168,Cbp-12-1,Cbp,H,4x,2,1.73,2.38,1.24,1.15,1.65,0.93,2.06
168,Cbp-12-1,Cbp,H,4x,3,1.55,2.4,1.1,0.93,1.65,0.78,1.92
168,Cbp-12-1,Cbp,H,4x,4,1.37,2.2,1.04,1.08,1.66,0.88,1.68
168,Cbp-12-1,Cbp,H,4x,5,1.29,2.09,1.01,1.03,1.62,0.87,1.75
168,Cbp-12-1,Cbp,H,4x,6,1.17,2.06,0.95,1,1.63,0.84,1.79
272,Cbp-12-1,Cbp,H,4x,1,2.04,2.48,1.31,1.16,1.79,0.92,1.92
272,Cbp-12-1,Cbp,H,4x,2,2.2,2.59,1.39,1.21,1.87,0.89,1.92
272,Cbp-12-1,Cbp,H,4x,3,2.28,2.61,1.45,0.99,1.66,0.81,1.84
272,Cbp-12-1,Cbp,H,4x,4,2.38,2.64,1.37,1.21,1.95,0.85,1.95
272,Cbp-12-1,Cbp,H,4x,5,2.72,2.82,1.56,1.32,1.94,0.95,1.97
272,Cbp-12-1,Cbp,H,4x,6,2.56,2.77,1.56,1.35,1.84,1.02,2.1
111,Cbp-12-2,Cbp,H,4x,1,1.77,2.43,1.22,1.22,1.76,0.99,1.73
111,Cbp-12-2,Cbp,H,4x,2,1.56,2.38,1.11,1.04,1.75,0.82,1.94
111,Cbp-12-2,Cbp,H,4x,3,1.72,2.45,1.2,1.23,1.85,0.91,2.11
111,Cbp-12-2,Cbp,H,4x,4,1.66,2.42,1.09,1.34,2,0.95,1.93
