Photo,ID,Group,Origin,Ploidy_level,Number,Area,Length,Width,Organ
45,Cbp-11-1,Cbp,H,4x,13,1.015965776,1.599268264,0.965149254,pistil
45,Cbp-11-1,Cbp,H,4x,14,1.110289,1.640766713,1.028269084,pistil
63,Cbp-11-2,Cbp,H,4x,13,1.370155076,1.902843816,1.091364574,pistil
63,Cbp-11-2,Cbp,H,4x,14,1.313416333,1.977500458,1.083713932,pistil
77,Cbp-11-3,Cbp,H,4x,13,1.559130634,1.949607659,1.196583221,pistil
77,Cbp-11-3,Cbp,H,4x,14,1.102587802,1.67942558,0.918142018,pistil
35,Cbp-11-4,Cbp,H,4x,13,0.859638033,1.506787167,0.935447236,pistil
35,Cbp-11-4,Cbp,H,4x,14,0.915455265,1.515500624,0.896585542,pistil
10,Cbp-11-5,Cbp,H,4x,13,1.047889547,1.615973114,1.076509509,pistil
10,Cbp-11-5,Cbp,H,4x,14,1.156232901,1.829623191,1.064421007,pistil
168,Cbp-12-1,Cbp,H,4x,13,0.960675122,1.717102764,0.902443192,pistil
168,Cbp-12-1,Cbp,H,4x,14,0.673295363,1.27687846,0.785460566,pistil
272,Cbp-12-1,Cbp,H,4x,13,1.251477635,1.757619529,1.129707032,pistil
272,Cbp-12-1,Cbp,H,4x,14,1.395299159,1.838734189,1.26006814,pistil
111,Cbp-12-2,Cbp,H,4x,13,1.124638241,1.74433029,1.061216337,pistil
111,Cbp-12-2,Cbp,H,4x,14,1.241735949,1.837809297,1.042053222,pistil
36,Cbp-12-3,Cbp,H,4x,13,1.048021191,1.647679064,1.032909771,pistil
36,Cbp-12-3,Cbp,H,4x,14,0.850554568,1.412001952,0.894614061,pistil
42,Cbp-12-4,Cbp,H,4x,13,1.22508293,1.63800015,1.165153116,pistil
42,Cbp-12-4,Cbp,H,4x,14,1.003722846,1.579196483,0.969660131,pistil
199,Cbp-12-5,Cbp,H,4x,13,1.387597961,1.896880696,1.143158533,pistil
199,Cbp-12-5,Cbp,H,4x,14,1.193093337,1.670290243,1.163546724,pistil
40,Cbp-12-6,Cbp,H,4x,13,1.539778905,1.977411214,1.288204332,pistil
40,Cbp-12-6,Cbp,H,4x,14,1.440782305,1.931474906,1.318944825,pistil
297,Cbp-3-1,Cbp,H,4x,7,0.99194067,1.577200663,1.012456674,pistil
297,Cbp-3-1,Cbp,H,4x,NA,NA,NA,NA,pistil
177,Cbp-3-2,Cbp,H,4x,13,1.081722162,1.854400564,1.065134959,pistil
177,Cbp-3-2,Cbp,H,4x,14,0.93230575,1.613774467,0.930409008,pistil
278,Cbp-3-3,Cbp,H,4x,13,0.861086121,1.462359893,0.928307718,pistil
278,Cbp-3-3,Cbp,H,4x,14,1.048811058,1.669657422,1.092200223,pistil
248,Cbp-3-4,Cbp,H,4x,13,1.065793188,1.668067256,1.022971237,pistil
248,Cbp-3-4,Cbp,H,4x,14,1.170977075,1.81241533,1.159465841,pistil
160,Cbp-3-5,Cbp,H,4x,13,1.120096509,1.745352539,1.139077649,pistil
160,Cbp-3-5,Cbp,H,4x,14,0.961333344,1.616703292,1.023344439,pistil
281,Cbp-3-6,Cbp,H,4x,13,1.103114379,1.638478822,1.103785713,pistil
281,Cbp-3-6,Cbp,H,4x,14,0.824291507,1.427376255,0.917346936,pistil
46,Cbp-4-1,Cbp,H,4x,13,0.875764474,1.584964889,0.941507714,pistil
46,Cbp-4-1,Cbp,H,4x,14,0.591280892,1.212874303,0.810789629,pistil
3,Cbp-4-2,Cbp,H,4x,13,0.775912185,1.418395066,0.84570025,pistil
3,Cbp-4-2,Cbp,H,4x,NA,NA,NA,NA,pistil
43,Cbp-4-3,Cbp,H,4x,13,0.654930967,1.292398799,0.804696699,pistil
43,Cbp-4-3,Cbp,H,4x,14,0.478856561,1.111963707,0.665938544,pistil
27,Cbp-4-4,Cbp,H,4x,13,0.511504376,1.239688061,0.713181059,pistil
27,Cbp-4-4,Cbp,H,4x,14,0.318908596,0.90183471,0.512958144,pistil
30,Cbp-4-5,Cbp,H,4x,13,0.480831227,1.144059085,0.641161171,pistil
30,Cbp-4-5,Cbp,H,4x,14,0.565346942,1.186458087,0.788454296,pistil
6,Cbp-4-6,Cbp,H,4x,13,0.443773324,1.089604034,0.640885326,pistil
6,Cbp-4-6,Cbp,H,4x,14,0.469378163,1.079073245,0.693498706,pistil
298,Cbp-6-1,Cbp,H,4x,13,1.47520732,2.039403325,1.16810628,pistil
298,Cbp-6-1,Cbp,H,4x,14,1.389770094,2.050299203,1.147864124,pistil
106,Cbp-6-2,Cbp,H,4x,13,0.692317981,1.377026426,0.816614827,pistil
106,Cbp-6-2,Cbp,H,4x,14,0.568308942,1.272903046,0.737179576,pistil
276,Cbp-6-3,Cbp,H,4x,13,1.125296463,1.786737404,1.027149478,pistil
276,Cbp-6-3,Cbp,H,4x,14,1.210272933,1.890787766,1.065913815,pistil
292,Cbp-6-4,Cbp,H,4x,13,1.415506577,2.105297831,1.167157049,pistil
292,Cbp-6-4,Cbp,H,4x,14,1.112329488,1.753700907,1.040422491,pistil
293,Cbp-6-5,Cbp,H,4x,13,1.413663555,2.001766706,1.11627987,pistil
293,Cbp-6-5,Cbp,H,4x,14,1.406883868,2.09715229,1.188259192,pistil
152,Cbp-6-6,Cbp,H,4x,13,0.948629658,1.66539805,0.952517175,pistil
152,Cbp-6-6,Cbp,H,4x,14,1.112921888,1.813721537,1.009909164,pistil
209,Cbp-8-1,Cbp,H,4x,13,1.349750192,2.12688676,1.112572188,pistil
209,Cbp-8-1,Cbp,H,4x,14,1.101995402,1.923759359,0.951154176,pistil
