Individual,Flower_number,Group,Ploidy,Origin,Viable_fiveMiddle_blocks,Non-viable_fiveMiddle_blocks,Added_fourMiddle_purple,Added_fourMiddle_white,Added_purple2,Added_white2,Volume,Sum_viable,Sum_total,Ratio,Viable_per_flower,Total_per_flower
Cbp-11-2,1,Cbp,T,H,112,2,78,1,177,4,30,367,374,0.981,6333,6433
Cbp-11-2,2,Cbp,T,H,102,0,78,1,140,0,30,320,321,0.997,6000,6033
Cbp-11-3,1,Cbp,T,H,148,6,125,4,67,2,30,340,352,0.966,9100,9433
Cbp-11-3,2,Cbp,T,H,145,7,119,7,70,3,30,334,351,0.952,8800,9267
Cbp-11-4,1,Cbp,T,H,90,2,64,0,165,1,30,319,322,0.991,5133,5200
Cbp-11-4,2,Cbp,T,H,102,0,81,1,141,2,30,324,327,0.991,6100,6133
Cbp-11-6,1,Cbp,T,H,49,2,39,0,236,2,30,324,328,0.988,2933,3000
Cbp-11-6,2,Cbp,T,H,63,0,38,1,214,0,30,315,316,0.997,3367,3400
Cbp-12-1,1,Cbp,T,H,132,2,100,1,117,0,30,349,352,0.991,7733,7833
Cbp-12-1,2,Cbp,T,H,129,3,91,1,93,2,30,313,319,0.981,7333,7467
Cbp-12-1,1,Cbp,T,H,42,0,42,1,247,1,30,331,333,0.994,2800,2833
Cbp-12-1,2,Cbp,T,H,63,0,56,1,216,2,30,335,338,0.991,3967,4000
Cbp-12-5,1,Cbp,T,H,140,0,98,0,135,0,30,373,373,1,7933,7933
Cbp-12-5,2,Cbp,T,H,124,1,82,1,135,0,30,341,343,0.994,6867,6933
Cbp-12-6,1,Cbp,T,H,118,0,79,0,152,1,30,349,350,0.997,6567,6567
Cbp-12-6,2,Cbp,T,H,113,1,83,0,108,2,30,304,307,0.99,6533,6567
Cbp-3-1,1,Cbp,T,H,98,1,87,1,189,5,30,374,381,0.982,6167,6233
Cbp-3-1,2,Cbp,T,H,121,0,106,1,74,1,30,301,303,0.993,7567,7600
Cbp-3-2,1,Cbp,T,H,89,1,62,0,157,1,30,308,310,0.994,5033,5067
Cbp-3-2,2,Cbp,T,H,92,1,62,1,167,5,30,321,328,0.979,5133,5200
Cbp-3-3,1,Cbp,T,H,121,1,92,0,140,1,30,353,355,0.994,7100,7133
Cbp-3-3,2,Cbp,T,H,91,0,81,0,151,2,30,323,325,0.994,5733,5733
Cbp-3-4,1,Cbp,T,H,103,0,75,0,170,1,30,348,349,0.997,5933,5933
Cbp-3-4,2,Cbp,T,H,93,1,77,0,213,3,30,383,387,0.99,5667,5700
Cbp-3-5,1,Cbp,T,H,149,0,128,0,43,0,30,320,320,1,9233,9233
Cbp-3-5,2,Cbp,T,H,87,1,84,0,147,1,30,318,320,0.994,5700,5733
Cbp-3-6,1,Cbp,T,H,113,1,91,0,141,0,30,345,346,0.997,6800,6833
Cbp-3-6,2,Cbp,T,H,126,1,93,2,128,2,30,347,352,0.986,7300,7400
Cbp-6-1,1,Cbp,T,H,132,4,106,2,107,0,30,345,351,0.983,7933,8133
Cbp-6-1,2,Cbp,T,H,119,1,99,0,134,2,30,352,355,0.992,7267,7300
Cbp-6-2,1,Cbp,T,H,175,3,140,4,0,0,30,315,322,0.978,10500,10733
Cbp-6-2,2,Cbp,T,H,138,3,97,1,83,2,30,318,324,0.981,7833,7967
Cbp-6-3,1,Cbp,T,H,205,6,138,1,0,0,30,343,350,0.98,11433,11667
Cbp-6-3,2,Cbp,T,H,153,1,104,2,68,0,30,325,328,0.991,8567,8667
Cbp-6-4,1,Cbp,T,H,165,10,156,3,0,0,30,321,334,0.961,10700,11133
Cbp-6-4,2,Cbp,T,H,171,18,144,8,0,0,30,315,341,0.924,10500,11367
Cbp-6-5,1,Cbp,T,H,150,2,109,1,55,0,30,314,317,0.991,8633,8733
Cbp-6-5,2,Cbp,T,H,121,0,106,1,88,1,30,315,317,0.994,7567,7600
Cbp-6-6,1,Cbp,T,H,154,3,120,1,71,0,30,345,349,0.989,9133,9267
Cbp-6-6,2,Cbp,T,H,185,1,143,1,0,0,30,328,330,0.994,10933,11000
Cbp-8-1,1,Cbp,T,H,140,2,124,2,151,2,30,415,421,0.986,8800,8933
Cbp-8-1,2,Cbp,T,H,120,0,88,0,109,2,30,317,319,0.994,6933,6933
Cbp-8-2,1,Cbp,T,H,165,4,153,0,0,0,30,318,322,0.988,10600,10733
Cbp-8-2,2,Cbp,T,H,180,1,126,1,0,0,30,306,308,0.994,10200,10267
Cbp-8-3,1,Cbp,T,H,174,3,165,3,0,0,30,339,345,0.983,11300,11500
Cbp-8-3,2,Cbp,T,H,173,1,108,0,45,1,30,326,328,0.994,9367,9400
Cbp-8-4,1,Cbp,T,H,128,3,121,0,70,1,30,319,323,0.988,8300,8400
Cbp-8-4,2,Cbp,T,H,152,2,119,1,86,2,30,357,362,0.986,9033,9133
Cbp-8-5,1,Cbp,T,H,162,0,138,0,0,0,30,300,300,1,10000,10000
Cbp-8-5,2,Cbp,T,H,80,61,42,25,106,57,30,228,371,0.615,4067,6933
Cbp-8-6,1,Cbp,T,H,165,2,127,4,21,0,30,313,319,0.981,9733,9933
Cbp-8-6,2,Cbp,T,H,165,1,126,1,28,0,30,319,321,0.994,9700,9767
Cg2-1-1,1,Cg2,D,NH,275,0,0,0,96,1,60,371,372,0.997,33000,33000
Cg2-1-1,2,Cg2,D,NH,344,6,0,0,0,0,60,344,350,0.983,41280,42000
Cg2-1-2,1,Cg2,D,NH,438,7,0,0,0,0,60,438,445,0.984,52560,53400
