Full_ID,Line,Group,Normal,Abnormal
Cbp-3-1,Cbp-3,Cbp,114,1
Cbp-3-2,Cbp-3,Cbp,230,1
Cbp-3-3,Cbp-3,Cbp,207,0
Cbp-3-4,Cbp-3,Cbp,204,1
Cbp-3-5,Cbp-3,Cbp,145,0
Cbp-3-6,Cbp-3,Cbp,209,0
Cbp-4-1,Cbp-4,Cbp,287,0
Cbp-4-2,Cbp-4,Cbp,269,1
Cbp-4-3,Cbp-4,Cbp,286,1
Cbp-4-4,Cbp-4,Cbp,268,0
Cbp-4-5,Cbp-4,Cbp,279,0
Cbp-4-6,Cbp-4,Cbp,276,0
Cbp-6-1,Cbp-6,Cbp,257,0
Cbp-6-2,Cbp-6,Cbp,298,0
Cbp-6-3,Cbp-6,Cbp,243,0
Cbp-6-4,Cbp-6,Cbp,245,1
Cbp-6-5,Cbp-6,Cbp,249,0
Cbp-6-6,Cbp-6,Cbp,275,1
Cbp-8-1,Cbp-8,Cbp,182,2
Cbp-8-2,Cbp-8,Cbp,193,0
Cbp-8-3,Cbp-8,Cbp,207,2
Cbp-8-4,Cbp-8,Cbp,178,1
Cbp-8-5,Cbp-8,Cbp,247,1
Cbp-8-6,Cbp-8,Cbp,172,1
Cbp-11-1,Cbp-11,Cbp,213,0
Cbp-11-2,Cbp-11,Cbp,177,4
Cbp-11-3,Cbp-11,Cbp,276,2
Cbp-11-4,Cbp-11,Cbp,179,0
Cbp-11-5,Cbp-11,Cbp,234,2
Cbp-11-6,Cbp-11,Cbp,279,0
Cbp-12-1,Cbp-12,Cbp,304,3
Cbp-12-2,Cbp-12,Cbp,334,1
Cbp-12-3,Cbp-12,Cbp,314,1
Cbp-12-4,Cbp-12,Cbp,320,3
Cbp-12-5,Cbp-12,Cbp,300,0
Cbp-12-6,Cbp-12,Cbp,226,3
Cg2-1-1,Cg2-1,Cg2,NA,NA
Cg2-1-2,Cg2-1,Cg2,NA,NA
Cg2-1-3,Cg2-1,Cg2,NA,NA
Cg2-1-4,Cg2-1,Cg2,NA,NA
Cg2-1-5,Cg2-1,Cg2,NA,NA
Cg2-1-6,Cg2-1,Cg2,86,2
Cg2-2-1,Cg2-2,Cg2,NA,NA
Cg2-2-2,Cg2-2,Cg2,79,2
Cg2-2-3,Cg2-2,Cg2,75,3
Cg2-2-4,Cg2-2,Cg2,92,4
Cg2-2-5,Cg2-2,Cg2,NA,NA
Cg2-2-6,Cg2-2,Cg2,134,0
Cg2-7-1,Cg2-7,Cg2,119,2
Cg2-7-2,Cg2-7,Cg2,NA,NA
Cg2-7-3,Cg2-7,Cg2,NA,NA
Cg2-7-4,Cg2-7,Cg2,NA,NA
Cg2-7-5,Cg2-7,Cg2,47,2
Cg2-7-6,Cg2-7,Cg2,74,19
Cg2-9-1,Cg2-9,Cg2,88,0
Cg2-9-2,Cg2-9,Cg2,0,59
Cg2-9-3,Cg2-9,Cg2,69,6
Cg2-9-4,Cg2-9,Cg2,121,7
Cg2-9-5,Cg2-9,Cg2,142,4
Cg2-9-6,Cg2-9,Cg2,109,2
Cg2-12-1,Cg2-12,Cg2,89,8
Cg2-12-2,Cg2-12,Cg2,133,0
Cg2-12-3,Cg2-12,Cg2,33,3
Cg2-12-4,Cg2-12,Cg2,90,1
Cg2-12-5,Cg2-12,Cg2,55,2
Cg2-12-6,Cg2-12,Cg2,47,8
Cg2-14-1,Cg2-14,Cg2,85,16
Cg2-14-2,Cg2-14,Cg2,NA,NA
Cg2-14-3,Cg2-14,Cg2,NA,NA
Cg2-14-4,Cg2-14,Cg2,NA,NA
Cg2-14-5,Cg2-14,Cg2,NA,NA
Cg2-14-6,Cg2-14,Cg2,98,0
Cg4-1-1,Cg4-1,Cg4,35,2
Cg4-1-2,Cg4-1,Cg4,69,13
Cg4-1-3,Cg4-1,Cg4,NA,NA
Cg4-1-4,Cg4-1,Cg4,NA,NA
Cg4-1-5,Cg4-1,Cg4,55,5
Cg4-1-6,Cg4-1,Cg4,NA,NA
Cg4-6-1,Cg4-6,Cg4,NA,NA
Cg4-6-2,Cg4-6,Cg4,NA,NA
Cg4-6-3,Cg4-6,Cg4,NA,NA
Cg4-6-4,Cg4-6,Cg4,82,6
Cg4-6-5,Cg4-6,Cg4,50,15
Cg4-6-6,Cg4-6,Cg4,51,13
Cg4-7-1,Cg4-7,Cg4,33,7
Cg4-7-2,Cg4-7,Cg4,NA,NA
Cg4-7-3,Cg4-7,Cg4,NA,NA
Cg4-7-4,Cg4-7,Cg4,NA,NA
Cg4-7-5,Cg4-7,Cg4,NA,NA
Cg4-7-6,Cg4-7,Cg4,NA,NA
Cg4-8-1,Cg4-8,Cg4,NA,NA
Cg4-8-2,Cg4-8,Cg4,NA,NA
Cg4-8-3,Cg4-8,Cg4,NA,NA
Cg4-8-4,Cg4-8,Cg4,NA,NA
Cg4-8-5,Cg4-8,Cg4,NA,NA
Cg4-8-6,Cg4-8,Cg4,NA,NA
Cg4-9-1,Cg4-9,Cg4,NA,NA
Cg4-9-2,Cg4-9,Cg4,NA,NA
Cg4-9-3,Cg4-9,Cg4,NA,NA
Cg4-9-4,Cg4-9,Cg4,NA,NA
Cg4-9-5,Cg4-9,Cg4,62,9
Cg4-9-6,Cg4-9,Cg4,NA,NA
Cg4-12-1,Cg4-12,Cg4,NA,NA
